id,text,type
ME0110,"European Parliament election, participation survey",l
ME0116,"European Parliament elections, nominated and elected candidates",l
MI0106,Discharges to water and sewage sludge production,l
MI0107,Greenhouse gas emissions and removals,l
MI0108,Emissions of atmospheric pollutants,l
MI0305,"Waste, generated and treated",l
MI0307,"Waste, packaging",l
MI0308,"Waste, transboundary shipments",l
MI0309,"Waste, electonic equipment and batteries",l
MI0603,Protected nature,l
MI0605,"Formally protected forest land, voluntary set-asides, consideration patches and unproductive forest",l
MI0802,Land and water areas,l
MI0803,Land use in Sweden,l
MI0805,Green areas within and in the vicinity of urban settlements,l
MI0806,Concentrations of holiday homes,l
MI0810,"Urban areas, localities and small localities",l
MI0812,Land use in proximity to shoreline,l
MI0815,Activities zones and retail trade areas,l
MI0902,Water withdrawal and water use in Sweden,l
MI1002,Sales of fertilizers for agricultural and horticultural purposes,l
MI1301,System of Environmental and Economic Accounts,l
MI1302,Environmental protection expenditure,l
MI1303,Sustainable Development indicators,l
NR0001,The Swedish Economy – Statistical Perspective,l
NR0101,"National accounts, previous definitions",l
NR0109,System of Health Accounts,l
NR0110,Social protection expenditure and receipts in Sweden and Europe (ESSPROS),l
NR0111,Supplement on contingent liabilities and potential obligations to the EDP related questionnaire,l
NR9999,National accounts other,l
NR0105,Regional accounts,l
NR0108,Excessive Deficit Procedure,l
NR0103,"National Accounts, quarterly and annual estimates",l
NV0004,Business Production Index,l
NV0006,Production value index,l
NV0101,Business Database,l
NV0103,Balance statistics,l
NV0109,Structural business statistics,l
NV0116,ICT usage in enterprises,l
NV0117,Non-profit organisations,l
NV0118,Non financial corporations: Foreign trade credits,l
NV0124,Quarterly economic statistics,l
NV0402,Industrial production index (IPI),l
NV0501,Orders and turnover in industry,l
NV0701,Industrial capacity utilization,l
NV0802,Enterprises´ IT expenditure,l
NV1701,Accommodation statistics,l
OE0101,Local taxes,l
OE0106,Financial assets and liabilities for municipalities and county councils,l
OE0107,Annual accounts for municipalities and county councils,l
OE0108,Publicly owned enterprises,l
OE0112,"Financiers and providers within education, health care and social services",l
OE0115,Economic equalisation for local government and equalisation of costs for support and services to cer,l
OE0202,The Swedish Central Government Debt,l
OE0701,Tax assessment,l
PR0101,Consumer Price Index (CPI),l
PR0301,Producer and import price index (PPI),l
PR0501,Building price index (BPI) (output price index) (BPI),l
PR0502,Construction cost index for buildings (input price index),l
TK1001,Registered vehicles,l
UF0301,Research and development in Sweden,l
UF0306,Government budget appropriations for R&D,l
UF0315,Community innovation survey,l
UF0501,Panels of students for longitudinal studies,l
UF0502,Staff training statistics,l
UF0503,Activity after training,l
UF0506,Educational attainment of the population,l
UF0507,Register on Participation in Education,l
UF0512,Entrance into the labour market,l
UF0542,The transition from upper secondary school to post-secondary education,l
UF0549,Analysis and statistics concerning education of the population,l
UF0550,Historical statistics on education,l
UF0601,Folk high school statistics,l
UF0701,Higher Vocational Education,l
UF0702,Arts ant Culture courses,l
AA0003B,Labour market statistics,l
AA0003E,Demography statistics,l
AA0003G,Transfers statistics,l
AA0003F,Incomes statistics,l
AA0003H,Education statistics,l
AA0003X,"Old tables, not updated",l
AM0101A,Manual workers: Hourly earnings by industry ,l
AM0101X,Key figures,l
AM0101B,Non-manual workers: Monthly salary by industry,l
AM0101C,"Older tables, not updated",l
AM0102A,Salaries and employees,l
AM0102B,"Older tables, not updated",l
AM0103A,Manual workers: Hourly wages,l
AM0103B,Manual workers: Wages dispersion,l
AM0103D,Manual workers: Other time series,l
AM0103E,"Manual workers: Old tables, not updated",l
AM0103F,Non-manual workers: Monthly salary,l
AM0103G,Non-manual workers: Salary dispersion,l
AM0103I,Non-manual workers: Other time series,l
AM0103J,"Non-manual workers: Old tables, not updated",l
AM0104A,Salaries,l
AM0104C,Time serie: Number of employees in the public sector,l
AM0104D,"Old tables, not updated",l
AM0105A,Salaries,l
AM0105C,Time serie: Number of employees in the public sector,l
AM0105D,"Old tables, not updated",l
AM0106A,Salaries,l
AM0106C,Time serie: Number of employees in the public sector,l
AM0106D,"Old tables, not updated",l
AM0108A,"Short-term statistics, salaries, in the municipalities (KLK)",l
AM0109A,"Short-term statistics, salaries in the regional authorities (KLR)",l
AM0110A,"Salaries by occupation (SSYK, 4-digit level)
",l
AM0110B,"Salaries by occupational group (SSYK, 3-digit level)",l
AM0110C,Salaries by educational group and industry,l
AM0114A,Labour cost index (LCI),l
AM0201A,Employed population,l
AM0201B,Sick Leave,l
AM0201D,"Old tables, not updated",l
AM0206A,"Aggregate gross pay, payroll taxes and prel. tax statistics",l
AM0206C,Old tables – not updated,l
AM0207Z,Tables regarding 2019-2021,l
AM0207I,"DeSo, tables 2018-2021",l
AM0207H,"Population 16+ years, 2004-2018",l
AM0207A,"Population 16+ years, 1993-2003",l
AM0207L,"Gainfully employed commuters 16- years of age, 1993-2003 / 2004-2018",l
AM0207J,"Gainfully employed 16+ years by region of residence, 2004-2018",l
AM0207B,"Gainfully employed 16+ years by region of residence, 1993-2003",l
AM0207K,"Gainfully employed 16+ years by region of work, 2004-2018",l
AM0207C,"Gainfully employed 16+ years by region of work, 1993-2003",l
AM0207E,Labour Statistics Based on Administrative Sources 1985-1993,l
AM0208A,The population 16+ years,l
AM0208B,Employed population 16-64 years at national level (SSYK3),l
AM0208E,Employed population 16-64 years at national level (SSYK4),l
AM0208C,Employed population 16-64 years by region of residence (SSYK3),l
AM0208D,Employed population 16-64 years by region of work (SSYK3),l
AM0208M,Employed population 16-64 years by region of work (SSYK4),l
AM0208S,Self employed 16+ years,l
AM0209A,Number of sickdays and sickperiods,l
AM0209B,"Older tables, not updated",l
AM0210A,Labour market status – preliminary statistics based on monthly data,l
AM0210C,Labour market status – final statistics based on monthly data,l
AM0210D,Labour market status – final statistics based on annual data,l
AM0210B,Employed – preliminary statistics based on monthly data,l
AM0210E,Employed – final statistics based on monthly data,l
AM0210F,Employed – final statistics based on annual data,l
AM0301A,Labour cost index for wage-earners and salaried employees in the private sector (AKI),l
AM0301B,Index for direct wages and salaries,l
AM0301C,"Old tables, not updated",l
AM0301S,Economic indicators,l
AM0302A,"Aggregate wages, prel. tax reported by employers and the amount of social benefit payments",l
AM0302B,"Aggregate wages, prel. tax reported by employers and the amount of social benefit payments by sex 
",l
AM0401A,Population by labour status from 2001,l
AM0401I,Employed persons from 2001,l
AM0401J,Employees from 2005,l
AM0401S,Hours worked from 2001,l
AM0401B,Hours worked by industrial classification (NACE Rev. 2) from 2005,l
AM0401K,Persons absent from work from 2005,l
AM0401L,Unemployed persons from 2001,l
AM0401M,Persons not in the labour force from 2005,l
AM0401O,Labour supply not utilized as from 2001,l
AM0401N,Regional data from 2005,l
AM0401P,Level and field of Education as from 2005,l
AM0401Q,Civil status and children as from 2005,l
AM0401R,Born in Sweden and Foreign-born persons as from 2005,l
AM0401U,Young people not in employment and not in any education and training (NEET) from 2007,l
AM0401T,Economic indicators from 2005,l
AM0401X,Key figures,l
AM0403A,Population by labour status 1970-2020,l
AM0403P,Level and field of Education 2005-2020,l
AM0403I,Employed 1970-2020,l
AM0403J,Employees 2005-2020,l
AM0403B,Hours worked by industrial classification (NACE Rev. 2) 2009-2020,l
AM0403S,Hours worked 2005-2020,l
AM0403K,Persons absent from work 2005-2020,l
AM0403L,Unemployed persons 2005-2020,l
AM0403M,Persons not in the labour force 2005-2020,l
AM0403O,Labour supply not utilized 2005-2020,l
AM0403N,Regional data 2005-2020,l
AM0403Q,Civil status and children 2005-2020,l
AM0403R,Born in Sweden and Foreign-born persons 2005-2020,l
AM0403U,Young people not in employment and not in any education and training (NEET) 2007-2020,l
AM0403C,Hours worked by industrial classification (NACE Rev. 1.1) 2005-2008,l
AM0701A,Job openings and vacancies,l
AM0701B,Recruitment and vacancy rate,l
AM0701C,Recruitment time,l
AM0701D,"Old tables, not updated",l
BE0001D,Newborn – Old tables not updated,l
BE0001G,All registered persons in Sweden – Old tables not updated,l
BE0401A,Latest projections,l
BE0401D,Latest assumptions,l
BE0401E,Latest projections with alternative assumptions,l
BE0401B,Earlier projections,l
BE0401F,Earlier assumptions,l
BE0401C,Earlier projections with alternative assumptions,l
LivslUtbFland,"Life tables by level of education, region of birth, sex and age. Year 2012 - 2022",t
LivslUtbHushtyp,"Life tables by level of education, type of household, sex and age. Year 2012 - 2022",t
LivslUtbLan,"Life tables by level of education, county, sex and age. Period 2012-2016 - 2018-2022",t
BE0101A,Number of inhabitants,l
BE0101G,Summary of vital events,l
BE0101H,Live births,l
BE0101I,Deaths,l
BE0101J,Migration - internal and external,l
BE0101D,Mean population,l
BE0101E,Foreign-born persons,l
BE0101F,Foreign citizens,l
BE0101Q,Foreign/Swedish background,l
BE0101N,Changes of citizenship,l
BE0101B,Average age,l
BE0101L,"Married, divorced and widowed",l
BE0101O,Registered partnership,l
BE0101S,Household,l
BE0101K,Adoptees,l
BE0101M,"Circular migration - Old tables, not updated",l
BE0101P,Asylum-seekers,l
BE0101C,Population density,l
BE0101Y,Regional statistics at a lower level than municipality (DeSO/RegSO),l
BO0101G,Building permits for new construction,l
BO0101C,"New construction, preliminary data, quarter",l
BO0101A,"New construction, year",l
BO0101B,"Conversion, preliminary data, quarter",l
BO0101D,"Conversion, year",l
BO0101F,"Demolition, year",l
BO0101E,"Old tables, not updated",l
BO0104X,DeSO,l
BO0104D,Dwellings,l
BO0104H,Holiday homes,l
BO0201A,Price per square metre for newly constructed conventional multi-dwelling buildings,l
BO0201B,Price per dwelling for newly constructed conventional multi-dwelling buildings,l
BO0201C,Price per sq. m for newly constructed conventional collectively built one- or two-dwelling buildings,l
BO0201D,Price/dwelling for newly constructed conventional collectively built one- or two-dwelling buildings,l
BO0201M,Technical data for the newly built ordinary multi-dwelling buildings,l
BO0201S,Technical data for the newly built ordinary collectively built houses,l
BO0201E,Floor spaces per dwelling in newly constructed conventional multi-dwelling buildings,l
BO0201F,Dwellings/number of rooms (incl. kitchens) in newly constructed conventional residential buildings,l
BO0201N,"Cost per sq.m. and per dwelling (old, no update)",l
BO0201J,"Floor spaces p. dwelling in newly constructed conventional multi-dwelling buildings (old, no update)",l
BO0201K,"Number of rooms in newly constructed conventional residential buildings (old, no update)",l
BO0201L,"Number of rooms (including kitchens) in newly constructed residential buildings (old, no update)",l
BO0301A,Revenues and expenditure survey for multi-dwelling,l
BO0303A,Unlet dwellings in multi-dwelling buildings,l
BO0303Z,"Old tables, not updated, 2001-2002",l
BO0404A,Rented dwellings. Year 2014 -,l
BO0404B,Tenant-owned dwellings. Year 2014-,l
BO0406E,Rents 2016 -,l
BO0406F,Changes in rents 2016 – ,l
BO0406A,Rents for rented dwellings 2003-2015,l
BO0501A,Real estate price index,l
BO0501B,Prices of real estate,l
BO0501C,Tenant-owned flats,l
BO0501D,Registrations of title,l
BO0501E,Changes of assessed value,l
BO0501S,Economic indicators,l
BO0601A,Special (annual) assessment of real estate 1998-,l
BO0601F,The ratio of assessed values of comparable assessed units,l
BO0601C,General and simplified assessment of real estate for one- or twodwelling buildings,l
BO0601D,General and simplified assessment of real estate for multi-dwelling building and commercial building,l
BO0601B,Special (annual) assessment of real estate 1975-1997,l
BO0601E,General and simplified assessment of real estate for agriculture and forestry units,l
BO0601G,Old tables not updated,l
EN0105A,Annual energy statistics,l
EN0108A,Monthly electricity statistics,l
EN0301A,Electricity prices and electricity contracts,l
EN0301B,"Old tables, not updated",l
SSDArGasavtal,Change of natural gas supplier. Year 2008 - 2023,t
SSDHalvarGasHus,Prices of natural gas for households. Half-year 2014H2 - 2023H2,t
SSDHalvarGasIckehus,Prices of natural gas for non-household customers. Half-year 2014H2 - 2023H2,t
FM0001A,Balance of Payments,l
FM0001B,International Investment Position,l
FM0001C,Portfolio Investment,l
FM0001D,Direct Investments,l
FM0001S,Economic indicators,l
FM0103A,"Financial accounts, quarterly and annual",l
FM0103B,"Financial accounts, older time series",l
FM0105A,"Savings Barometer, Quarter",l
FM0201A,Shareholding on Swedish marketplace,l
FM0201B,Households,l
FM0201C,Rest of the world,l
FM0201D,Quoted companies,l
FM0401X,"Financial institutions, assets and liabilities",l
FinBalAr,Balance sheet for financial enterprises by kind of  financial institute and item. Year 1996 - 2023,t
FinResAr,Income statements for financial enterprises by kind of financial institute and item. Year 1996 - 2023,t
FM0403A,"Investment funds, assets and liabilities Quarter",l
FM0501Tab04,Investment assets of Swedish insurance companies by kind of asset. Quarter 2007K3 - 2023K4,t
FM0501Tab01,Assets of Swedish insurance companies by type of asset. Quarter 2019K1 - 2023K4,t
FM0501Tab07,New business of life insurance and occupational pension companies by type of insurance. Quarter 2000K1 - 2023K4,t
FM0501Tab06,Premiums and claims paid in non-life insurance companies by insurance class. Quarter 2018K1 - 2023K4,t
FM0501Tab03,Some liabilities of the insurance companies by type of liability. Quarter 1999K4 - 2023K4,t
FM0501Tab02,Assets of some major insurance companies by company. Quarter 2019K1 - 2023K4,t
FM5001A,Financial Market Statistics,l
FM5001B,Claims and liabilities outside Sweden,l
FM5001C,Deposit and lending rates,l
FM5001S,Economic indicators,l
FM5001X,Key figures,l
FM9998A,Securities issues,l
HA0101B,Turnover in the service sector,l
HA0101C,Old tables not updated (SNI 2007),l
HA0101D,Old tables not updated (SNI 2002),l
HA0103A,Food Sales,l
HA0104A,Service production index,l
HA0104B,Old tables not updated (SNI 2007),l
HA0201A,Total and by countries,l
HA0201D,SITC (Standard International Trade Classification),l
HA0201G,"SITC, older series",l
HA0201E,SPIN (Swedish Standard Classification of Products by Activity),l
HA0201H,"SPIN, Prod-SNI och Varu-SNI, older series",l
HA0201B,CN (Combined Nomenclature),l
HA0201I,"Other foreign trade - exports and imports of goods, older series",l
HA0201S,Economic indicators,l
HA0201X,Key figures,l
HA0202TjanstHKvN,"Trade in services, SEK millions, exports and imports by item. Quarter 1982K1 - 2023K4",t
HA0202TjanstHArN,"Trade in services, SEK millions, exports and imports by item. Year 1982 - 2023",t
HA0202TjLandKv,"Trade in services, SEK millions, exports and imports by country. Quarter 2004K1 - 2023K4",t
HA0202TjLandAr,"Trade in services, SEK millions, exports and imports by country. Year 2004 - 2023",t
NTHA0202N,Key figures for Foreign trade in services 2019K1 - 2023K4,t
HA0202TjHaArN,"Trade in services, SEK millions, exports and imports by item and country. Year 2013 - 2023",t
HE0110A,Income – Persons,l
HE0110G,Income – Households,l
HE0110F,Income Distribution,l
HE0110H,Income Mobility,l
HE0110B,Taxes,l
HE0110I,DeSo,l
HE0110J,Old tables not updated,l
HE0111A,Households´ Housing,l
HE0111YDeSo,DeSo,l
HE0201D,2021-,l
HE0201A,2003-2012,l
HE0202T01,"Housing expenditures per household and number of households, by type of tenure and type of household. Year 2015 - 2021",t
HE0202T02N, 2020 - 2021,t
HE0202T02,"Housing expenditures per household and number of households by region, type of tenure and type of household. Year 2015 - 2017",t
HE0202T03N, 2020 - 2021,t
HE0202T03,"Housing expenditures per household and number of hoseholds, by type of tenure, type of household and size of dwelling. Year 2015 - 2017",t
HE0202T04,"Housing expenditures per household and number of households, by type of tenure and age of the head of household. Year 2015 - 2021",t
HE0202T05,"Housing expenditures as a percentage of disposable income, disposable income and residual income per household by tenure and type of household. Year 2015 - 2021",t
HE0202T06N, 2020 - 2021,t
HE0202T06,"Housing expenditures as a percentage of disposable income, disposable income and residual income per household  by region, tenure and type of household. Year 2015 - 2017",t
HE0202T07N, 2020 - 2021,t
HE0202T07,"Housing expenditures as a percentage of disposable income, disposable income and residual income per household by tenure, type of household and size of dwelling. Year 2015 - 2017",t
HE0202T08,"Housing expenditures as a percentage of disposable income, disposable income and residual income per household by tenure and age of the head of household. Year 2015 - 2021",t
HE0202T09,"Equalised disposable income, equalised residual income and number of persons by tenure and type of household. Year 2015 - 2021",t
HE0202T10N, 2020 - 2021,t
HE0202T10,"Equalised disposable income, equalised residual income and number of persons by region, tenure and type of household. Year 2015 - 2017",t
HE0202T11,"Equalised disposable income, equalised residual income and number of persons by tenure and age of the head of household. Year 2015 - 2021",t
HE0202T12N, 2020 - 2021,t
HE0202T12,"Equalised disposable income, equalised residual income and number of persons by tenure, type of household and size of dwelling. Year 2015 - 2017",t
HE0202T13N, 2020 - 2021,t
HE0202T13,"Housing expenditures per household and number of households, by equalised disposable income, type of tenure and type of household. Year 2015 - 2017",t
HE0202T14,"Expenses and shares of total housing expenditures, owner-occupied dwellings by useful floor space, type of household and age of the head of household. Year 2015 - 2021",t
HE0202T15,"Expenses and shares of total housing expenditures, tenant-owned dwellings by useful floor space, type of household and age of the head of household. Year 2015 - 2021",t
HE0202T16,"Expenses and shares of total housing expenditures, rented dwellings by useful floor space, type of household and age of the head of household. Year 2015 - 2021",t
ForetagStorlekK,"Agricultural enterprises by municipality and size class. Year 1981, 1985, 1989-2000, 2003 1981 - 2007",t
ForetagStorlekL,"Agricultural enterprises by county/country and size class. Year 1981 -2000, 2003, 2005, 2007 1981 - 2007",t
ForetagFormL,"Agricultural enterprises by county/country and juridical form. Year 1981-2000, 2003, 2005 1981 - 2007",t
ForetagareAlder8195,Agricultural enterprise farmers by county/country and age. Year 1981-1995 1981 - 1995,t
ForetagareAlder96,Agricultural enterprise farmers by county/country and age. Year 1996-2003 1996 - 2007,t
HusdjurK,"Livestock by municipality and type of animal. Year 1981, 1985, 1989-1995, 1999, 2003 1981 - 2007",t
HusdjurL,Livestock by county/country and type of animal. Year 1981 - 2007,t
AkerArealGrodaK,"Use of arable land by municipality and crop. Year 1981, 1985, 1989-1995, 1999- 1981 - 2007",t
AkerArealGrodaL,Use of arable land by county/country and crop. Year 1981 - 2007,t
AgoslagArealK,"Type of land area by municipality. Year 1981, 1985, 1989-1999 1981 - 1999",t
AgoslagArealL,"Type of land area by county/country. Year 1981-1999, 2003- 1981 - 2007",t
SkordarL2,Yield per hectar and total production in regions/country for different crops. Yearly data 1965 - 2023,t
LE0101B,Housing,l
LE0101E,Economy and material assets,l
LE0101F,Leisure,l
LE0101H,Health,l
LE0101M,Civic activities,l
LE0101R,Social relations,l
LE0101S,Employment,l
LE0101T,Security,l
LE0102J,Families,l
LE0102B,Family type,l
LE0102C,Siblings,l
LE0102E,Young persons who have moved from home,l
LE0102I,Adopted children,l
LE0102F,Separations between parents,l
LE0102G,Geographic distance between children and parents,l
LE0102O,Legal guardians,l
LE0102A,Swedish and foreign background,l
LE0102M,Housing,l
LE0102L,Families with children finances,l
LE0102K,Parents occupation,l
LE0102Q,Children whose parents have died,l
LE0102X,"Older tables, not updated",l
LE0105A,Employment status,l
LE0105B,Housing,l
LE0105G,Health,l
LE0105C,Demography,l
LE0105D,Refugees received for settlement,l
LE0105E,Income,l
LE0105H,Education,l
LE0105X,"Old tables, not updated",l
LE0106A,"Children 12-18 years, 2014-2019",l
LE0106C,"Children 10-18 years, 2008 to 2014",l
LE0108D,Use of the Internet ,l
LE0108E,Platform economy,l
LE0108F,E-government,l
LE0108N,Use of electronic identification (eID),l
LE0108G,E-commerce,l
LE0108H,Financial activities,l
LE0108I,ICT security,l
LE0108L,Digital skills,l
LE0108M,Internet of Things,l
LE0108P,Green ICT,l
LE0108O,"Old tables, not updated",l
ME0002A,Political organization in municipalities,l
ME0002J,Political organization in country council,l
ME0104D,Voting rates,l
ME0104C,Elections to the Riksdag,l
ME0104B,Elections to the County Councils,l
ME0104A,Elections to the Municipal Councils,l
ME0105C,Election to the Riksdag,l
ME0105B,Elections to the regional councils,l
ME0105A,Elections to the Municipal Councils,l
ME0107C,Election to the Riksdag,l
ME0107B,Elections to the regional councils,l
ME0107A,Elections to the Municipal Councils,l
ME0107D,"Older tables, not updated",l
ME0109A,Election results,l
ME0109B,Those entitled to vote,l
ME0110T01,European Parliament election. Voting rates among all those entitled to vote by sex and age (Survey). Election year 2004 - 2014,t
ME0110T04,European Parliament election. Voting rates among Swedish citizens registered in Sweden by sex and age (survey). Election year 2004 - 2014,t
ME0110T03,European Parliament election. Voting rates among Swedish citizens residing abroad by sex and age (survey). Election year 2004 - 2014,t
ME0110T02,European Parliament election. Voting rates among foreign citizens registered in Sweden by sex and age (survey). Election year 2004 - 2014,t
ME0110T05,"European Parliament election. Voting rates among Swedish citizens registered in Sweden by region, sex and age (survey). Election year 2004 - 2014",t
ME0110T15,"European Parliament election. Voting rates among Swedish citizens registered in Sweden by country of birth, sex and age (survey). Election year 2004 - 2014",t
ME0110T16,European Parliament election. Voting rates among Swedish citizens registered in Sweden by foreign/Swedish background and sex (survey). Election year 2004 - 2014,t
ME0110T06,"European Parliament election. Voting rates among Swedish citizens registered in Sweden by civil status, sex and age (survey). Election year 2004 - 2014",t
ME0110T07,"European Parliament election. Voting rates among Swedish citizens registered in Sweden by income, sex and age (survey). Election year 2004 - 2014",t
ME0110T08,"European Parliament election. Voting rates among Swedish citizens registered in Sweden, 18-74 years by level of educational attainment, sex and age (survey). Election year 2004 - 2014",t
ME0110T09,"European Parliament election. Voting rates among Swedish citizens registered in Sweden, 18-64 years by civil status, labour force status and sex(survey). Election year 2004 - 2014",t
ME0110T10,"European Parliament election. Voting rates among employed Swedish citizens registered in Sweden, 18-64 years by occupation and sex (survey). Election year 2004 - 2014",t
ME0110T12,"European Parliament election. Voting rates among employed Swedish citizens registered in Sweden, 18-64 years by socio economic group, sex and age (survey). Election year 2004 - 2014",t
ME0110T11,"European Parliament election. Voting rates among Swedish citizens registered in Sweden, 18-64 years, employees by sector of employment, sex and age (survey). Election year 2004 - 2014",t
ME0110T13,"European Parliament election. Voting rates among Swedish citizens registered in Sweden, 18-64 years, employees and unemployed by trade union, sex and age (survey). Election year 2004 - 2014",t
C1EUvalNom,"Nominated, elected and not elected candidates in the elections to the European Parliament by sex. In numbers and percent. Election year 1995 - 2019",t
C2EUvalNomAlder,"Nominated, elected and not elected candidates in elections to the European Parliament by sex and age. In numbers and percentage. Election year 1995 - 2019",t
C3EUvalNomLand,"Nominated, elected and not elected candidates in the elections to the European Parliament by sex and born in Sweden/born abroad. In numbers and percent. Election year 1995 - 2019",t
C4EUvalNomUtb,"Nominated, elected and not elected candidates in the elections to the European Parliament by sex and level of educational attainment. In numbers and percentage. Election year 1995 - 2019",t
C5EUvalNomInk,"Nominated, elected and not elected candidates in the elections to the European Parliament by sex and income by percentile. In numbers and percent. Election year 1995 - 2019",t
C6EUvalNomParti,"Nominated, elected and not elected candidates in the elections to the European Parliament by sex and party. In numbers and percent. Election year 1995 - 2019",t
MI0106T02,Discharges from industrial waste water treatment plants by major drainage areas and substance. Every second year 2014 - 2020,t
MI0106T03,Production and use of sewage sludge form municipal waste water treatment plants by county and use category. Every other year 2014 - 2020,t
MI0106T04,"Wastewater treatment plants by region, size and treatment methods. Every other year 2014 - 2020",t
MI0106T05,"Concentrations of nutrients, metals and organic indicator substances in sludge from municipal wastewater treatment plants. Every other year 2014 - 2020",t
MI0106T06,Discharges from industry by industry group and substance. Every other year 2014 - 2020,t
MI0106T07,Municipal wastewater treatment plants: Incoming and outgoing amounts and treatment efficiency. Every other year 2014 - 2020,t
MI0106T08,"Concentration averages (yearly averages) in outgoing wastewater by treatment method/size, substance and interval. Every other year 2014 - 2020",t
MI0106T09,"Dry substance percentages in sludge in different quality classes by size, substance and limit value. Every other year 2014 - 2020",t
MI0106T10,Ratio of sludge dry substance below the limit values by size. Every other year 2014 - 2020,t
MI0106T11,Concentration averages of metals in water from municipal wastewater treatment plants by size and substance. Every other year 2014 - 2020,t
MI0106T12,Metal discharges from municipal wastewater treatment plants by treatment method/major drainage region and substance. Every other year 2014 - 2020,t
MI0106T01B,Discharges from municipal waste water treatment plants by major drainage area and substance. Every other year 2014 - 2020,t
TotaltUtslappN,Total emissions and removals of greenhouse gases by greenhouse gas and sector. Year 1990 - 2022,t
MI0107UppvBoLok,Emissions of greenhouse gases from heating of houses and buildings by greenhouse gas and subsector. Year 1990 - 2022,t
MI0107Prodanv,Emissions of greenhouse gases from solvent use and other product use by greenhouse gas and area. Year 1990 - 2022,t
MI0107IndustriN,Emissions of greenhouse gases from industry by greenhouse gas and subsector.  Year 1990 - 2022,t
MI0107JordbrukN,Emissions of greenhouse gases from agriculture  by greenhouse gas and subsector. Year 1990 - 2022,t
MI0107ArbMaskN,Emissions of greenhouse gases from off-road vehicles and other machinery by type of greenhouse gas and subsector. Year 1990 - 2022,t
MI0107UtrikesTransNN,Emissions of greenhouse gases from international transport by type of greenhouse gas and activity. Year 1990 - 2022,t
MI0107MarkanvNN,"Emissions and removals of greenhouse gases from land use, land use change and forestry by type of greenhouse gas and subsector. Year 1990 - 2022",t
